,p,t,k,b,d,ɡ,f,θ,s,ʃ,v,z,ð,ʒ,m,n
p,80,43,64,1,1,0,17,14,6,2,1,0,1,0,2,0
t,71,84,55,1,0,0,5,9,3,8,0,2,1,0,2,3
k,66,76,107,0,0,0,12,8,9,4,0,0,1,0,1,0
b,1,0,0,136,10,9,5,4,4,0,47,6,16,1,5,4
d,0,0,0,5,80,45,0,0,0,8,11,20,20,26,1,0
ɡ,0,0,0,3,63,66,0,2,0,0,3,37,19,56,0,3
f,18,12,9,7,2,1,175,48,11,1,2,0,2,0,0,0
θ,19,17,16,5,4,5,104,64,32,7,6,5,4,0,0,0
s,8,5,4,4,2,3,23,39,107,45,1,3,1,2,0,1
ʃ,1,6,3,0,3,0,4,6,29,195,0,0,0,0,0,1
v,0,0,0,48,5,5,2,0,2,0,145,12,45,0,4,0
z,0,0,0,7,20,27,0,1,1,1,16,94,28,44,0,1
ð,0,0,0,31,6,17,0,6,0,0,86,21,58,5,6,4
ʒ,0,0,0,1,26,18,0,0,0,0,3,45,8,129,0,2
m,1,0,0,4,0,0,0,0,0,0,4,3,1,0,177,46
n,0,0,0,1,5,2,0,4,0,0,0,1,7,6,47,163
